# Malla	Hilos	Tiempo(s)	Iteraciones	Programa
200	32	0.423589	21398	sections
200	32	0.391749	21398	schedule
200	32	0.627371	21398	sync
200	32	0.638644	21398	critical
200	32	0.511147	21398	atomic
200	32	10.3217	21415	task
200	64	0.623482	21709	parallel_for
200	64	0.582917	21501	collapse
200	64	0.566123	21413	sections
200	64	0.57957	21397	schedule
200	64	0.875623	21385	sync
200	64	1.25548	21387	critical
200	64	0.686698	21391	atomic
200	64	16.8965	21413	task
200	80	0.696033	21472	parallel_for
200	80	0.707121	21491	collapse
200	80	0.748767	21848	sections
200	80	0.707623	21640	schedule
200	80	1.29887	21461	sync
200	80	1.45523	21385	critical
200	80	0.812923	21437	atomic
200	80	34.2813	21423	task
