1	0	1
1	0.1	0.81
1	0.2	0.64
1	0.3	0.49
1	0.4	0.36
1	0.5	0.25
1	0.6	0.16
1	0.7	0.09
1	0.8	0.04
1	0.9	0.01
1	1	0
1	1.1	0.01
1	1.2	0.04
1	1.3	0.09
1	1.4	0.16
1	1.5	0.25
1	1.6	0.36
1	1.7	0.49
1	1.8	0.64
1	1.9	0.81
1	2	1
1.05	0	1.1025
1.05	0.1	0.9025
1.05	0.2	0.7225
1.05	0.3	0.5625
1.05	0.4	0.4225
1.05	0.5	0.3025
1.05	0.6	0.2025
1.05	0.7	0.1225
1.05	0.8	0.0625
1.05	0.9	0.0225
1.05	1	0.00249999
1.05	1.1	0.00249999
1.05	1.2	0.0225
1.05	1.3	0.0625
1.05	1.4	0.1225
1.05	1.5	0.2025
1.05	1.6	0.3025
1.05	1.7	0.4225
1.05	1.8	0.5625
1.05	1.9	0.7225
1.05	2	0.9025
1.1	0	1.21
1.1	0.1	1
1.1	0.2	0.81
1.1	0.3	0.64
1.1	0.4	0.49
1.1	0.5	0.36
1.1	0.6	0.25
1.1	0.7	0.16
1.1	0.8	0.09
1.1	0.9	0.04
1.1	1	0.00999999
1.1	1.1	-1.32345e-08
1.1	1.2	0.00999999
1.1	1.3	0.04
1.1	1.4	0.09
1.1	1.5	0.16
1.1	1.6	0.25
1.1	1.7	0.36
1.1	1.8	0.49
1.1	1.9	0.64
1.1	2	0.81
1.15	0	1.3225
1.15	0.1	1.1025
1.15	0.2	0.9025
1.15	0.3	0.7225
1.15	0.4	0.5625
1.15	0.5	0.4225
1.15	0.6	0.3025
1.15	0.7	0.2025
1.15	0.8	0.1225
1.15	0.9	0.0625
1.15	1	0.0225
1.15	1.1	0.00249998
1.15	1.2	0.00249998
1.15	1.3	0.0225
1.15	1.4	0.0625
1.15	1.5	0.1225
1.15	1.6	0.2025
1.15	1.7	0.3025
1.15	1.8	0.4225
1.15	1.9	0.5625
1.15	2	0.7225
1.2	0	1.44
1.2	0.1	1.21
1.2	0.2	1
1.2	0.3	0.81
1.2	0.4	0.64
1.2	0.5	0.49
1.2	0.6	0.36
1.2	0.7	0.25
1.2	0.8	0.16
1.2	0.9	0.09
1.2	1	0.04
1.2	1.1	0.00999998
1.2	1.2	-2.33587e-08
1.2	1.3	0.00999998
1.2	1.4	0.04
1.2	1.5	0.09
1.2	1.6	0.16
1.2	1.7	0.25
1.2	1.8	0.36
1.2	1.9	0.49
1.2	2	0.64
1.25	0	1.5625
1.25	0.1	1.3225
1.25	0.2	1.1025
1.25	0.3	0.9025
1.25	0.4	0.7225
1.25	0.5	0.5625
1.25	0.6	0.4225
1.25	0.7	0.3025
1.25	0.8	0.2025
1.25	0.9	0.1225
1.25	1	0.0625
1.25	1.1	0.0225
1.25	1.2	0.00249997
1.25	1.3	0.00249997
1.25	1.4	0.0225
1.25	1.5	0.0625
1.25	1.6	0.1225
1.25	1.7	0.2025
1.25	1.8	0.3025
1.25	1.9	0.4225
1.25	2	0.5625
1.3	0	1.69
1.3	0.1	1.44
1.3	0.2	1.21
1.3	0.3	1
1.3	0.4	0.81
1.3	0.5	0.64
1.3	0.6	0.49
1.3	0.7	0.36
1.3	0.8	0.25
1.3	0.9	0.16
1.3	1	0.09
1.3	1.1	0.04
1.3	1.2	0.00999997
1.3	1.3	-2.90271e-08
1.3	1.4	0.00999997
1.3	1.5	0.04
1.3	1.6	0.09
1.3	1.7	0.16
1.3	1.8	0.25
1.3	1.9	0.36
1.3	2	0.49
1.35	0	1.8225
1.35	0.1	1.5625
1.35	0.2	1.3225
1.35	0.3	1.1025
1.35	0.4	0.9025
1.35	0.5	0.7225
1.35	0.6	0.5625
1.35	0.7	0.4225
1.35	0.8	0.3025
1.35	0.9	0.2025
1.35	1	0.1225
1.35	1.1	0.0625
1.35	1.2	0.0225
1.35	1.3	0.00249997
1.35	1.4	0.00249997
1.35	1.5	0.0225
1.35	1.6	0.0625
1.35	1.7	0.1225
1.35	1.8	0.2025
1.35	1.9	0.3025
1.35	2	0.4225
1.4	0	1.96
1.4	0.1	1.69
1.4	0.2	1.44
1.4	0.3	1.21
1.4	0.4	1
1.4	0.5	0.81
1.4	0.6	0.64
1.4	0.7	0.49
1.4	0.8	0.36
1.4	0.9	0.25
1.4	1	0.16
1.4	1.1	0.09
1.4	1.2	0.04
1.4	1.3	0.00999997
1.4	1.4	-2.98604e-08
1.4	1.5	0.00999997
1.4	1.6	0.04
1.4	1.7	0.09
1.4	1.8	0.16
1.4	1.9	0.25
1.4	2	0.36
1.45	0	2.1025
1.45	0.1	1.8225
1.45	0.2	1.5625
1.45	0.3	1.3225
1.45	0.4	1.1025
1.45	0.5	0.9025
1.45	0.6	0.7225
1.45	0.7	0.5625
1.45	0.8	0.4225
1.45	0.9	0.3025
1.45	1	0.2025
1.45	1.1	0.1225
1.45	1.2	0.0625
1.45	1.3	0.0225
1.45	1.4	0.00249997
1.45	1.5	0.00249997
1.45	1.6	0.0225
1.45	1.7	0.0625
1.45	1.8	0.1225
1.45	1.9	0.2025
